time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-20T18:55:05.619Z,61.4326,-149.933,34.5,2,ml,,,,0.79,ak,ak20524177,2018-12-20T19:05:01.637Z,"9km S of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-20T18:51:17.710Z,34.1976667,-118.588,19.95,1.67,ml,21,59,0.05734,0.2,ci,ci38400968,2018-12-20T19:15:31.398Z,"2km E of Canoga Park, CA",earthquake,0.49,0.8,0.227,29,reviewed,ci,ci
2018-12-20T18:43:27.620Z,17.8146,-66.6535,11,2.03,md,6,278,0.2707,0.15,pr,pr2018354011,2018-12-20T19:17:01.744Z,"21km SSE of Tallaboa, Puerto Rico",earthquake,1.02,0.79,0.23,5,reviewed,pr,pr
2018-12-20T18:35:46.790Z,37.5371667,-118.8846667,4.38,0.61,md,11,197,0.0688,0.09,nc,nc73124686,2018-12-20T19:49:02.684Z,"14km SE of Mammoth Lakes, CA",earthquake,0.7,2.25,0.146,11,reviewed,nc,nc
2018-12-20T18:34:11.380Z,61.4806,-149.8805,33.1,2.1,ml,,,,0.45,ak,ak20524112,2018-12-20T18:48:07.437Z,"6km SE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-20T18:33:58.450Z,37.5288333,-118.9838333,0.94,0.62,md,17,163,0.08516,0.05,nc,nc73124681,2018-12-20T19:59:02.842Z,"12km S of Mammoth Lakes, CA",earthquake,0.28,31.61,0.288,15,reviewed,nc,nc
2018-12-20T18:30:59.000Z,54.9207,164.6295,10,5.1,mb,,125,4.009,0.78,us,us2000ivi9,2018-12-20T18:53:34.040Z,"92km WSW of Nikol'skoye, Russia",earthquake,10.2,1.9,0.039,215,reviewed,us,us
2018-12-20T17:59:15.096Z,61.5206,-150.0189,49.5,2.5,ml,,,,0.73,ak,ak20524090,2018-12-20T18:04:56.461Z,"3km W of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-12-20T17:54:13.800Z,54.9233,164.6642,10,5,mb,,95,4.029,0.69,us,us2000ivhq,2018-12-20T18:09:28.040Z,"90km WSW of Nikol'skoye, Russia",earthquake,11.8,1.9,0.062,84,reviewed,us,us
2018-12-20T17:49:18.900Z,54.8474,164.6597,10,5,mb,,160,3.994,0.87,us,us2000ivhm,2018-12-20T18:06:23.040Z,"93km WSW of Nikol'skoye, Russia",earthquake,5.9,1.9,0.069,67,reviewed,us,us
2018-12-20T17:47:41.782Z,61.5098,-149.9213,40.9,2.5,ml,,,,0.61,ak,ak20524072,2018-12-20T17:51:02.837Z,"2km SE of Big Lake, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-12-20T17:35:10.410Z,54.8647,164.6829,10,5.6,mb,,74,4.013,0.99,us,us2000ivgx,2018-12-20T19:37:07.226Z,"91km WSW of Nikol'skoye, Russia",earthquake,8.9,1.9,0.032,337,reviewed,us,us
2018-12-20T17:34:00.752Z,61.4309,-150.113,38.5,2.3,ml,,,,0.55,ak,ak20524058,2018-12-20T17:46:29.217Z,"13km SW of Big Lake, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-12-20T17:31:24.240Z,19.1731,-66.448,25,2.21,md,5,328,0.7008,0.15,pr,pr2018354010,2018-12-20T19:03:16.569Z,"78km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.6,11,0.52,4,reviewed,pr,pr
2018-12-20T17:28:40.260Z,33.5046667,-116.7961667,3.63,0.83,ml,39,35,0.008441,0.16,ci,ci38400960,2018-12-20T18:47:42.355Z,"9km NE of Aguanga, CA",earthquake,0.15,0.36,0.118,20,reviewed,ci,ci
2018-12-20T17:27:50.664Z,58.948,-152.63,59.3,3.3,ml,,,,0.76,ak,ak20524041,2018-12-20T17:35:08.723Z,"98km SW of Homer, Alaska",earthquake,,2.1,,,automatic,ak,ak
2018-12-20T17:19:29.810Z,55.0684,164.867,10,5.6,mb,,99,4.198,0.96,us,us2000ivge,2018-12-20T19:21:21.849Z,"73km W of Nikol'skoye, Russia",earthquake,8.3,1.8,0.036,272,reviewed,us,us
2018-12-20T17:04:13.370Z,38.8081665,-122.7523346,0.36,1.55,md,9,74,0.02616,0.01,nc,nc73124661,2018-12-20T18:03:03.816Z,"3km WSW of Cobb, CA",earthquake,0.28,0.8,0.28,3,automatic,nc,nc
2018-12-20T17:03:17.688Z,61.3641,-149.8981,32.7,1.7,ml,,,,0.61,ak,ak20523946,2018-12-20T17:06:30.554Z,"16km N of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-12-20T17:02:11.667Z,61.3955,-150.088,39.9,2,ml,,,,0.67,ak,ak20523944,2018-12-20T17:08:41.368Z,"15km SSW of Big Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-12-20T17:01:54.240Z,55.106,164.7089,9.59,7.4,mww,,24,4.134,0.82,us,us2000ivfw,2018-12-20T20:03:06.910Z,"82km W of Nikol'skoye, Russia",earthquake,7.9,3.7,0.058,29,reviewed,us,us
2018-12-20T16:59:26.681Z,58.0001,-154.3184,15,1.3,ml,,,,0.7,ak,ak20523951,2018-12-20T21:13:10.270Z,"55km NNW of Larsen Bay, Alaska",earthquake,,1,,,reviewed,ak,ak
2018-12-20T16:56:23.163Z,39.1028,-119.7339,11,0.4,ml,5,133.59,0.056,0.1092,nn,nn00671068,2018-12-20T18:12:03.634Z,"4km ENE of Indian Hills, Nevada",earthquake,,3.6,0,1,reviewed,nn,nn
2018-12-20T16:51:52.220Z,53.5826,-164.0042,62.51,3.9,mb,,168,1.334,1.24,us,us2000ivfs,2018-12-20T21:07:37.711Z,"131km ESE of Akutan, Alaska",earthquake,4.9,12.8,0.115,23,reviewed,us,us
2018-12-20T16:45:26.211Z,39.115,-119.726,8,1.6,ml,22,56.85,0.043,0.1664,nn,nn00670988,2018-12-20T18:09:29.329Z,"5km ENE of Indian Hills, Nevada",earthquake,,1,0.27,10,reviewed,nn,nn
2018-12-20T16:36:04.780Z,44.7587,-111.4684,17.15,3.1,ml,,73,0.08,0.58,us,us2000ivfg,2018-12-20T20:25:33.130Z,"30km WNW of West Yellowstone, Montana",earthquake,1.5,3.5,0.05,53,reviewed,us,us
